a_up,a_down,b_up,b_down,¹«Ê½£ºx=ay-(b+c)
0x8DAF,0x8E7B,0x95,0xAF,c=0x2000
0x8143,0x829D,0x88,0x81,
0x81DC,0x8189,0x82,0x8A,
0x80A8,0x81B8,0x6B,0x9E,
0x8185,0x8166,0x91,0x91,
0x80B8,0x808C,0x80,0x7B,
0x8071,0x8063,0x73,0x5D,
0x80B5,0x8104,0x79,0x85,
0x8170,0x8025,0x8E,0x6F,
0x8138,0x7FF9,0x7D,0xBD,
0x804C,0x80DB,0x84,0x8B,
0x80AC,0x8129,0x90,0x93,
0x7F74,0x8044,0x86,0x74,
0x7E6C,0x8010,0x66,0x7E,
0x7FE4,0x7F77,0x7C,0x83,
0x7D79,0x8046,0x5D,0xA2,
0x7FE5,0x806B,0x71,0x8D,
0x8081,0x8019,0x89,0x93,
0x7F6B,0x805A,0x70,0x82,
0x7FBB,0x8180,0x69,0x98,
0x8090,0x804C,0xA6,0x67,
0x7E6E,0x80F8,0x59,0xA3,
0x803A,0x80CA,0x89,0x96,
0x8057,0x800C,0x84,0x50,
0x808E,0x80CB,0x9F,0x9B,
0x80DA,0x801B,0x96,0xA1,
0x7FB6,0x8053,0x74,0x86,
0x8076,0x8165,0x74,0x9F,
0x7F9C,0x80BD,0x72,0x7D,
0x7FE7,0x7F9C,0x92,0x8D,
0x80B6,0x7FD8,0x8F,0x75,
0x7EC6,0x7F5C,0x61,0x8E,
0x7FD7,0x808B,0x6F,0x8E,
0x8063,0x7FAD,0x81,0x83,
0x7F53,0x8113,0x80,0x8F,
0x8062,0x8029,0x91,0x7D,
0x7F9E,0x7FFE,0x7F,0x86,
0x80B7,0x8030,0x85,0x8A,
0x80E9,0x7EE2,0x89,0x5A,
0x808A,0x801C,0x82,0x81,
0x7F5F,0x80AE,0x69,0x94,
0x8066,0x8024,0x74,0x69,
0x7F90,0x7EC0,0xAE,0x62,
0x7FB7,0x80FB,0x80,0x90,
0x7FC3,0x8014,0x6D,0x79,
0x801F,0x8023,0x7F,0x7F,
0x8010,0x8054,0xAB,0x74,
0x7FE6,0x8087,0x94,0x80,
0x802C,0x7FFF,0x66,0x7D,
0x800A,0x7F7F,0x96,0x86,
0x7F44,0x7FE4,0xAF,0x8C,
0x8055,0x7F79,0x6C,0xB4,
0x7FBB,0x80A5,0x76,0x9C,
0x80CD,0x8032,0x75,0x84,
0x7EAC,0x814F,0x73,0x96,
0x8062,0x80BD,0x7F,0x8B,
0x7F52,0x7FD8,0x84,0x7E,
0x806B,0x7FE0,0xA0,0xA1,
0x8028,0x8022,0x95,0x8D,
0x8000,0x8072,0x93,0x79,
0x8104,0x804B,0x8A,0x64,
0x8056,0x7FE8,0x77,0x7D,
0x801F,0x8033,0x72,0x80,
0x8047,0x8083,0xBA,0x80,
0x80C5,0x801C,0x79,0x9F,
0x8012,0x7F3D,0xA4,0xB3,
0x7F6A,0x7F67,0x82,0x90,
0x7FF5,0x8004,0x6B,0x8C,
0x8187,0x8084,0x8C,0x96,
0x7FB4,0x8083,0x8D,0x99,
0x8032,0x7FEE,0xA3,0x88,
0x806F,0x7FD3,0x7C,0x61,
0x7FF5,0x8127,0x74,0x97,
0x7FEE,0x7FF5,0x79,0x7F,
0x8056,0x8007,0xAC,0x91,
0x800B,0x8083,0x86,0x9B,
0x7E5F,0x7FF0,0x63,0xA1,
0x7FB0,0x8098,0x7C,0x80,
0x8064,0x816B,0x94,0x80,
0x807F,0x8135,0x85,0x92,
0x7FBB,0x8177,0x70,0xA1,
0x80C5,0x80B6,0x89,0x98,
0x7F88,0x804A,0x83,0x75,
0x8049,0x8020,0x76,0xA8,
0x7EA7,0x801E,0x60,0x75,
0x80D8,0x80C0,0x89,0x97,
0x8008,0x7F36,0x7C,0xA5,
0x80DD,0x7FDE,0x9C,0x76,
0x800F,0x80D3,0x98,0x81,
0x7FC5,0x8025,0x7C,0x89,
0x8066,0x8047,0x8C,0x7C,
0x7F90,0x7FDF,0x7E,0x5A,
0x80BE,0x811E,0x96,0x70,
0x7FCB,0x8066,0x9F,0x8F,
0x7F8D,0x7FB7,0x7A,0xB0,
0x7FDB,0x7FF1,0xA3,0x71,
0x80DF,0x8129,0x77,0x98,
0x7FD7,0x811A,0x85,0x8E,
0x7FF4,0x808F,0x88,0x86,
0x7FCA,0x80CD,0xA7,0x88,
0x800C,0x80D9,0x74,0x83,
0x806B,0x8069,0x95,0x8D,
0x8071,0x8135,0x86,0x9A,
0x7FB7,0x813D,0x6B,0x95,
0x80B9,0x80FD,0x87,0x8C,
0x7F30,0x81CC,0x75,0x7A,
0x8097,0x80DD,0x76,0xA8,
0x807C,0x7FED,0x84,0x66,
0x802D,0x80CC,0x74,0x87,
0x7FFA,0x804A,0x7A,0xAA,
0x800E,0x80A8,0x7B,0x81,
0x7F06,0x80EA,0x69,0xA6,
0x7FAA,0x8096,0x64,0x86,
0x8001,0x80FA,0x8B,0x8F,
0x804D,0x80BB,0x98,0x98,
0x7F10,0x80D9,0x73,0x80,
0x7EFE,0x7FF2,0xA3,0x69,
0x8044,0x7ED7,0x92,0xB7,
0x8013,0x80DD,0x79,0x8D,
0x7F9D,0x8106,0x7A,0x80,
0x80CF,0x7FFF,0x7C,0xB2,
0x800B,0x8080,0x96,0x86,
0x7FD7,0x8089,0x9A,0x98,
0x8061,0x8165,0x7C,0x85,
0x8097,0x804F,0x7B,0x90,
0x808E,0x81A5,0x7C,0x83,
0x80F7,0x7FCD,0x88,0x7E,
0x7E79,0x80B3,0x58,0x6F,
0x7FB4,0x80B0,0x69,0x73,
0x7EA0,0x8090,0xAC,0x70,
0x7FD4,0x7FDA,0x88,0x74,
0x7FC1,0x8156,0x80,0x73,
0x8047,0x8076,0x99,0x7F,
0x7FCA,0x80D7,0x7C,0x73,
0x7FE1,0x7FF0,0x90,0x9D,
0x7F8D,0x806B,0x97,0x78,
0x80A9,0x7FF0,0x89,0x76,
0x805C,0x7FEE,0x7E,0x90,
0x8018,0x8029,0x57,0x85,
0x7F97,0x7F67,0x7B,0x6F,
0x804D,0x80CE,0x87,0x7D,
0x809C,0x80B8,0x89,0x88,
0x8074,0x8066,0x76,0x87,
0x7DF1,0x813B,0xC1,0x8E,
0x8087,0x8090,0x91,0x7A,
0x8074,0x8044,0x9C,0x99,
0x8146,0x806C,0x8E,0xA3,
0x7FF5,0x800F,0x74,0x80,
0x7F04,0x81EE,0x90,0x90,
0x7FC0,0x7F82,0x81,0x63,
0x7F8B,0x8002,0x77,0x9A,
0x8056,0x7FCD,0x85,0xAC,
0x7FCC,0x8123,0x71,0x83,
0x80DC,0x7F31,0x7D,0xB8,
0x8056,0x80F0,0x8B,0x79,
0x80F5,0x80A4,0x7C,0x71,
0x8066,0x80BC,0x94,0x7D,
0x8093,0x804D,0x9F,0x91,
0x7FC1,0x7FF1,0x9B,0x6E,
0x7F99,0x7FA6,0x87,0x6E,
0x7FD5,0x813A,0x72,0x87,
0x7F7D,0x80A5,0x9C,0x7F,
0x8109,0x8059,0x7B,0x82,
0x8011,0x8012,0x8D,0x85,
0x7F8D,0x80CD,0x68,0x80,
0x7FF7,0x80D6,0x83,0x99,
0x80A0,0x81AE,0x81,0x97,
0x8023,0x806C,0x6F,0x8F,
0x7FD5,0x8012,0x9B,0xAC,
0x80E7,0x807C,0x78,0x71,
0x7F9A,0x805C,0x9E,0x73,
0x7F68,0x8092,0x68,0x82,
0x8055,0x7FF4,0x71,0x61,
0x7FD4,0x8031,0x91,0x82,
0x802D,0x8123,0x7C,0x83,
0x8014,0x805F,0x72,0x77,
0x80DF,0x8157,0x93,0x88,
0x7FEF,0x807B,0x80,0x62,
0x7FF0,0x8147,0x7A,0x8A,
0x7FFC,0x7FA8,0x7A,0x76,
0x815E,0x7FA2,0x81,0x75,
0x7FE1,0x818B,0x95,0x85,
0x7EDF,0x807A,0xAC,0x74,
0x7EEA,0x8137,0x71,0x8D,
0x7F6B,0x80A2,0x6D,0x99,
0x7FF6,0x7F7D,0x74,0x69,
0x8005,0x80D8,0x8B,0xA2,
0x805B,0x8050,0x72,0x64,
0x8087,0x803C,0x89,0x84,
0x8027,0x7F5F,0x95,0x71,
0x7FAD,0x7FF2,0xAE,0x6C,
0x8033,0x7FF6,0x6C,0x64,
0x8072,0x80D3,0x7A,0x85,
0x8077,0x7FC8,0x7C,0x61,
0x7FA1,0x80FE,0x79,0x9A,
0x8060,0x7FE2,0x8D,0x8E,
0x7FCE,0x7FBC,0x8A,0x7E,
0x7F3E,0x8127,0xA3,0x9E,
0x803F,0x811B,0x90,0x85,
0x7F95,0x8095,0xAB,0x80,
0x7EEA,0x7FFD,0x5A,0x9A,
0x7F87,0x80F0,0x8E,0x95,
0x8112,0x80D1,0xA1,0x87,
0x8064,0x8042,0x89,0x9C,
0x800F,0x8094,0x6E,0x98,
0x80AC,0x7FF2,0x7F,0x63,
0x7FD1,0x814A,0x90,0x92,
0x8041,0x7F60,0x6D,0x61,
0x8018,0x8144,0x92,0x94,
0x7F88,0x803D,0x7B,0x95,
0x7FE3,0x7FC4,0x76,0x9D,
0x7FF2,0x7F22,0x9E,0xA2,
0x7FAD,0x818D,0xA7,0x91,
0x8094,0x801D,0x86,0x67,
0x80A8,0x7FF2,0x6D,0xAD,
0x7FB9,0x8141,0x60,0x9B,
0x8097,0x80DE,0x94,0x8A,
0x7ECE,0x814A,0xA9,0x6C,
0x80D3,0x8181,0x60,0x7B,
0x7FB1,0x8094,0x63,0x9F,
0x7FBF,0x80FB,0x62,0x69,
0x8120,0x809E,0x76,0x92,
0x807E,0x8186,0x7F,0x9B,
0x7F5C,0x80ED,0x9C,0x91,
0x7FE4,0x8187,0x9D,0x79,
0x8024,0x7F7B,0x8A,0x53,
0x7F99,0x801E,0x85,0x92,
0x7F09,0x8154,0x9A,0x89,
0x7EC8,0x8052,0x97,0x76,
0x7FD3,0x80A1,0x93,0x6A,
0x8067,0x8082,0x9D,0x63,
0x8012,0x80EE,0x66,0x6E,
0x7F9A,0x80C0,0x8C,0x96,
0x80C9,0x8124,0x89,0x8F,
0x7FDC,0x80ED,0x99,0xA9,
0x802F,0x8185,0xA2,0x87,
0x808B,0x8030,0x5A,0x68,
0x8037,0x805D,0x80,0xA5,
0x7FFE,0x80B3,0x83,0x6A,
0x8150,0x8132,0x7C,0xAF,
0x7FAF,0x8180,0xB1,0x9B,
0x7F30,0x8055,0x98,0x95,
0x7FE5,0x81B2,0x77,0x94,
0x7FA4,0x8115,0x93,0x96,
0x7FA3,0x80AB,0x6B,0x7B,
0x7F9D,0x81BB,0x79,0x65,
0x8020,0x80B8,0x6F,0x7B,
0x7FD2,0x808D,0x5C,0x68,
0x7F6F,0x80DF,0x88,0x8C,
0x8086,0x8154,0x93,0x79,
0x7F4C,0x8130,0x9D,0xA5,
0x805B,0x8116,0x65,0x6A,
0x800B,0x8028,0x62,0x9B,
0x8084,0x80AD,0x80,0x75,
0x8059,0x8019,0x72,0x7C,
0x80AB,0x7FDD,0x81,0x70,
0x8002,0x819B,0x8E,0x87,
0x7FB6,0x80A0,0x92,0xA2,
0x7FD7,0x8093,0x9B,0x77,
0x7EA3,0x8126,0xAC,0x95,
0x8002,0x8015,0x78,0x8C,
0x80B1,0x80D6,0x95,0x8B,
0x8000,0x816B,0x81,0x6E,
0x80FD,0x805F,0x78,0x99,
0x808E,0x80E3,0x8B,0x83,
0x8027,0x80BA,0x72,0x86,
0x7F7F,0x8163,0x88,0x86,
0x7F24,0x806F,0x99,0x83,
0x8072,0x80A2,0x7D,0x9F,
0x8031,0x80B5,0x7F,0x8C,
0x7F17,0x811D,0x8D,0x85,
0x8076,0x803D,0x7F,0x8B,
0x7F83,0x7FB8,0x76,0x6B,
0x8116,0x80DB,0x6D,0x80,
0x8113,0x801A,0x7E,0x85,
0x8057,0x80B3,0x8E,0x98,
0x7F91,0x81A1,0x86,0x79,
0x8010,0x8051,0x99,0x6A,
0x7F89,0x7FAA,0x7B,0x88,
0x7FF6,0x8016,0x85,0x73,
0x7FE2,0x80DA,0x72,0x98,
0x7F35,0x8036,0x6F,0x9D,
0x809B,0x8005,0x81,0x8B,
0x80A4,0x8047,0x73,0x6E,
0x7FBD,0x8029,0x5F,0x65,
0x8070,0x80A7,0x87,0x9A,
0x7ECC,0x7FCD,0xA3,0x9E,
0x7FCE,0x8084,0x5E,0x9A,
0x8089,0x804C,0x95,0x76,
0x8003,0x81BA,0x9B,0x8C,
0x7FB4,0x81DC,0x8E,0x7D,
0x805A,0x8075,0x73,0x99,
0x8082,0x8163,0x7A,0x77,
0x7F58,0x811D,0x75,0x8A,
0x80AD,0x8104,0x58,0xA1,
0x7F8C,0x8189,0x89,0x90,
0x80BD,0x805A,0x7F,0x96,
0x8079,0x812A,0x84,0x85,
0x8013,0x80D0,0x9A,0x9E,
0x7FC5,0x809D,0x84,0x6A,
0x80BB,0x807E,0x87,0x57,
0x8029,0x813B,0x82,0x75,
0x7F30,0x8124,0x71,0x78,
0x7FDF,0x801B,0x94,0x5B,
0x7F20,0x7F8E,0x9C,0xA9,
0x805D,0x8129,0x89,0x68,
0x7F5C,0x8254,0xB1,0x81,
0x7FDD,0x808A,0x90,0x67,
0x80F2,0x809A,0x83,0xA1,
0x7F84,0x80E8,0x64,0x81,
0x802C,0x815D,0x8E,0x69,
0x806D,0x8274,0x79,0x8A,
0x7FF4,0x820E,0x80,0x7F,
0x7ECB,0x8030,0x9D,0x76,
0x8024,0x81BE,0x7D,0x8C,
0x805F,0x80AE,0x8E,0x91,
0x8062,0x8042,0x72,0x6B,
0x8096,0x812A,0x7E,0x67,
0x7F66,0x81E0,0x6C,0x9D,
0x8068,0x8133,0x80,0x66,
0x7EBD,0x8174,0x9B,0x94,
0x8025,0x8091,0x91,0x78,
0x7FC6,0x80C5,0x97,0xA2,
0x7EF6,0x80CD,0xA2,0xA2,
0x7FCE,0x80EE,0x74,0x7B,
0x7FF7,0x7FEA,0x90,0xAD,
0x8038,0x80BC,0x69,0x7C,
0x80EA,0x8115,0x7D,0x7D,
0x7FE9,0x81D7,0x99,0x81,
0x7FB0,0x80C5,0x6E,0x99,
0x7FBF,0x809D,0x9D,0x99,
0x803B,0x8045,0x80,0x9F,
0x809F,0x814E,0x79,0x79,
0x80FD,0x802A,0x89,0x9D,
0x801B,0x801D,0x90,0x8A,
0x7FFA,0x7FFF,0xA1,0x92,
0x8051,0x8224,0x6F,0x75,
0x80A3,0x8069,0x6A,0x94,
0x804D,0x8187,0x7D,0x88,
0x7FAE,0x809D,0x92,0x83,
0x7F8F,0x81A6,0x7A,0x8A,
0x8022,0x810C,0x83,0x8A,
0x7F8C,0x7F88,0x8F,0x8F,
0x7FE8,0x80D7,0x90,0x97,
0x7FC3,0x8041,0x84,0x94,
0x7F5C,0x8048,0x62,0x97,
0x80C8,0x805A,0x74,0x99,
0x7F72,0x7F77,0x64,0x9C,
0x7FFE,0x80C0,0x88,0x8B,
0x7F41,0x7FF5,0x91,0x7D,
0x7FD1,0x803C,0x71,0x5B,
0x80F2,0x803D,0x70,0x67,
0x7F04,0x809D,0x71,0x7C,
0x7F9C,0x80AB,0xA5,0x69,
0x80AB,0x7FC2,0x7B,0x72,
0x8059,0x8054,0x91,0x8E,
0x7FF6,0x8071,0x87,0x93,
0x80B2,0x80FB,0x94,0x6E,
0x8052,0x808F,0x78,0x94,
0x8082,0x7FE3,0x88,0x7D,
0x7E88,0x80F8,0xB1,0x83,
0x801D,0x8122,0x83,0x77,
0x805D,0x8037,0x7C,0x6C,
0x8010,0x80A6,0x8B,0x7E,
0x7FCB,0x8100,0x9F,0x89,
0x80DE,0x80BC,0x71,0x87,
0x807A,0x7F68,0x8F,0xB0,
0x806A,0x80D8,0x72,0x88,
0x7F69,0x8117,0x84,0x81,
0x8079,0x80D9,0x81,0x87,
0x8059,0x80BE,0x8B,0x81,
0x7F67,0x8191,0x83,0x87,
0x7F86,0x814A,0x6C,0x8E,
0x80FF,0x809C,0x80,0xA4,
0x80DB,0x80C5,0x86,0x7E,
0x80D1,0x817F,0x7B,0x90,
0x801C,0x80BA,0x77,0x84,
0x7FC5,0x8042,0x70,0x9C,
0x7FC2,0x80F9,0x94,0xAB,
0x7EFE,0x80D9,0xAF,0x74,
0x80A9,0x80E9,0x7A,0xA9,
0x7F9E,0x80D0,0x54,0x6E,
0x80EB,0x8186,0x6E,0x83,
0x7F87,0x809E,0x5F,0x9D,
0x8082,0x8191,0x8D,0x90,
0x7FA7,0x804F,0x7F,0x97,
0x80A5,0x809A,0x86,0xA9,
0x7F6D,0x80E4,0x92,0x92,
0x7F72,0x8148,0x80,0x81,
0x7FFF,0x80CA,0x78,0x9F,
0x7F9B,0x7FBF,0x83,0xA5,
0x8040,0x8082,0x80,0x6F,
0x7F2C,0x80A5,0x8E,0x87,
0x80C2,0x7F25,0x72,0xB3,
0x803A,0x80B2,0x98,0x92,
0x8100,0x81D4,0x7D,0x77,
0x8000,0x8076,0x7C,0x84,
0x80E3,0x81D5,0x62,0x80,
0x7FC4,0x8097,0x8E,0x9F,
0x8034,0x8148,0x7C,0xA0,
0x80B3,0x8130,0x83,0x9F,
0x8014,0x81A0,0xA0,0x96,
0x7FAE,0x81BA,0x88,0x99,
0x80C6,0x80D3,0x8F,0x73,
0x7F26,0x804E,0x64,0x7D,
0x8073,0x80B4,0x88,0xA5,
0x8078,0x80E0,0x97,0xA5,
0x7F53,0x80EC,0x9D,0x94,
0x80F3,0x805F,0x75,0x98,
0x8013,0x80D3,0x68,0x86,
0x7F50,0x80D3,0x94,0x97,
0x803A,0x81B2,0x71,0x8A,
0x8052,0x8059,0x93,0xA9,
0x8033,0x8192,0x68,0x6F,
0x804A,0x8099,0x77,0xA0,
0x7F58,0x8196,0x9D,0x86,
0x7FCE,0x805C,0x9A,0xA8,
0x802A,0x80B8,0x6A,0x8B,
0x7F82,0x80C5,0x7D,0x9E,
0x812C,0x820C,0x84,0x87,
0x7FF2,0x8283,0x83,0x72,
0x7F23,0x8220,0xA4,0x89,
0x8021,0x816A,0x84,0x6D,
0x807F,0x8106,0x8D,0x9B,
0x807F,0x817A,0x7B,0x58,
0x7F24,0x8113,0x8A,0xBA,
0x80B0,0x80CF,0x73,0xA5,
0x7F9A,0x818B,0x97,0x84,
0x8042,0x81A8,0x91,0x87,
0x7FDA,0x81CD,0x67,0x5F,
0x8014,0x825F,0x81,0x81,
0x7F7D,0x811C,0x97,0x96,
0x7FEF,0x8115,0x9B,0x92,
0x800B,0x8259,0x82,0x67,
0x80D9,0x815F,0x71,0x62,
0x801A,0x809F,0x7E,0x95,
0x80B0,0x8236,0x7C,0x7F,
0x80F3,0x81E2,0x82,0x7C,
0x801B,0x8078,0x7F,0xBE,
0x80AD,0x8130,0x86,0x79,
0x7F5F,0x805B,0xA6,0x87,
0x7FB9,0x8037,0x86,0x74,
0x7F42,0x8049,0x99,0x9D,
0x7F6C,0x811B,0xA9,0x95,
0x7FFC,0x8155,0x8E,0x73,
0x7FED,0x81DF,0x9D,0x81,
0x805C,0x801B,0x80,0x72,
0x803C,0x8116,0x91,0x70,
0x7FEE,0x8170,0x91,0x81,
0x7FD0,0x811F,0x78,0xA0,
0x7F3F,0x8174,0x5C,0x9D,
0x80B4,0x80A6,0x77,0x97,
0x817D,0x7F8E,0x77,0x9D,
0x8051,0x80D8,0x88,0x87,
0x813D,0x8002,0x70,0x9B,
0x7FF2,0x7F9B,0x95,0xA0,
0x8019,0x8095,0x70,0xA8,
0x804C,0x8111,0x74,0x8A,
0x7FDA,0x80DA,0x8E,0x86,
0x8093,0x80AA,0x8E,0x94,
0x7F4B,0x8026,0x8E,0xA3,
0x7F3A,0x81D5,0xA3,0x85,
0x8082,0x807C,0x77,0x5F,
0x8020,0x7FDC,0x6C,0x99,
0x7FAD,0x8160,0x64,0x6D,
0x7F79,0x8178,0xA2,0x7E,
0x8025,0x80BB,0x9A,0x6C,
0x7F96,0x81A1,0x76,0x94,
0x805D,0x8011,0x7C,0x9E,
0x8093,0x8005,0x7E,0x85,
0x808C,0x7FC5,0x72,0xAF,
0x7F76,0x813A,0xBE,0x88,
0x80D8,0x80D8,0x80,0x89,
0x806D,0x7FF4,0x87,0x93,
0x80FC,0x80E1,0x7B,0x7E,
0x8016,0x81DD,0x4D,0x83,
0x8103,0x811B,0x83,0x80,
0x7F99,0x8058,0x99,0xAB,
0x8043,0x80F9,0x73,0x72,
0x7FD7,0x80BC,0x99,0x8B,
0x7F53,0x8138,0x6C,0x76,
0x7F8D,0x808F,0xAA,0x98,
0x8099,0x808D,0x6C,0x7F,
0x801F,0x806C,0x69,0x99,
0x7EE0,0x823C,0x9D,0x8F,
0x803C,0x8158,0x87,0x8C,
0x7FB2,0x8096,0x8F,0xA1,
0x7EE8,0x8144,0x72,0x7F,
0x7F99,0x802A,0x84,0x86,
0x804A,0x8038,0x83,0x9C,
0x80EE,0x80D8,0x65,0x6E,
0x808D,0x8167,0x77,0x86,
0x8053,0x8139,0x8C,0x95,
0x7FAE,0x80AB,0x8C,0x7E,
0x803E,0x8095,0x6D,0x5F,
0x8066,0x8131,0x8B,0x78,
0x7F56,0x812A,0xB4,0x77,
0x7FDC,0x81F3,0x62,0x62,
0x7FE2,0x800C,0x92,0x9A,
0x801A,0x820F,0x67,0x77,
0x8016,0x8063,0x87,0x6E,
0x7F94,0x8012,0x8B,0xA6,
0x7FB0,0x7FD2,0x5D,0x96,
0x7FD1,0x8157,0x8E,0x84,
0x8081,0x813C,0x6E,0xA7,
0x7F58,0x80EE,0x5C,0x84,
0x8038,0x804A,0x7E,0x9A,
0x8024,0x8119,0x63,0x71,
0x7FC2,0x8115,0xA2,0x7D,
0x811A,0x8055,0x82,0xA7,
