a_up,a_down,b_up,b_down,¹«Ê½£ºx=ay-(b+c)
0x8057,0x8119,0x8E,0x93,
0x8003,0x8161,0x96,0x81,
0x8013,0x80BD,0x8B,0x91,
0x7FFD,0x7FF6,0x85,0x9E,
0x7F31,0x815D,0x85,0x74,
0x7F22,0x8152,0x7F,0x9A,
0x8049,0x80AB,0x7F,0xA0,
0x7F31,0x8094,0x98,0x93,
0x811C,0x8164,0x7F,0x69,
0x7FAF,0x80F8,0x89,0x71,
0x80A3,0x8076,0x8E,0x96,
0x8031,0x80DD,0x7C,0x61,
0x7F68,0x8127,0xAC,0x7D,
0x7F75,0x828D,0x6E,0x6A,
0x8076,0x8097,0x59,0x96,
0x80D1,0x808F,0x81,0x73,
0x7FC4,0x802C,0x8C,0xBB,
0x80C1,0x816D,0x83,0x79,
0x7FD7,0x813E,0x5D,0x8C,
0x8034,0x80A6,0x84,0xA1,
0x8078,0x8106,0x9A,0x60,
0x7FA3,0x8229,0x85,0x88,
0x8095,0x8189,0x8E,0x76,
0x7FB8,0x8079,0x71,0x60,
0x7F3F,0x7FD9,0x66,0x8A,
0x7FB1,0x80AF,0x8E,0x84,
0x8064,0x80A9,0x76,0x8C,
0x8012,0x8102,0x9B,0x85,
0x7F9C,0x811C,0x9E,0x7D,
0x8040,0x80E8,0x5A,0x93,
0x7FA0,0x80BC,0x94,0x6F,
0x8033,0x8027,0x56,0x99,
0x7F21,0x8085,0xC1,0x92,
0x8043,0x802D,0x83,0x87,
0x7FF6,0x8121,0x8B,0x90,
0x8058,0x80E0,0x73,0x7C,
0x80A3,0x8085,0x87,0x6E,
0x8074,0x8118,0x8A,0x69,
0x8069,0x7FD3,0x6B,0x8C,
0x808A,0x801E,0x80,0x62,
0x80B3,0x8026,0x90,0x88,
0x7F81,0x8132,0x83,0x71,
0x806C,0x8175,0x6E,0x8C,
0x7FC6,0x80EB,0x7E,0xA4,
0x8051,0x8098,0x62,0x87,
0x7F60,0x7FDF,0x93,0x80,
0x7FD9,0x8126,0x83,0x63,
0x805D,0x802F,0x77,0x78,
0x7FC3,0x8027,0x6E,0x75,
0x7F83,0x80C1,0x8A,0x82,
0x7FF5,0x8116,0x83,0x65,
0x808F,0x7FB7,0x81,0x8E,
0x7ED7,0x8057,0x96,0x87,
0x7F9D,0x8096,0x81,0x7D,
0x8009,0x805B,0x88,0x85,
0x802E,0x8164,0x83,0x86,
0x8071,0x81A4,0x95,0x7D,
0x7F54,0x80D2,0x90,0x72,
0x7FED,0x808B,0x89,0x96,
0x8066,0x802F,0xA9,0x68,
0x7FDC,0x80DD,0x89,0x88,
0x7F34,0x80D8,0x6E,0x99,
0x8016,0x8018,0x8F,0x93,
0x803B,0x80B5,0x75,0x92,
0x8182,0x815C,0x7D,0x55,
0x7FCF,0x8177,0x99,0x8C,
0x7FE8,0x8087,0x9F,0x8E,
0x7FFC,0x80A6,0x94,0x91,
0x80AA,0x803F,0x98,0x89,
0x80FE,0x807C,0x89,0xA7,
0x7FCC,0x8138,0x87,0x68,
0x8007,0x812D,0x9C,0xA5,
0x7FA9,0x8001,0x5F,0x93,
0x7FEF,0x8105,0x6F,0x97,
0x7F73,0x811B,0x6D,0xB2,
0x80BD,0x8021,0x79,0x88,
0x80F2,0x817A,0x7C,0x85,
0x7FA6,0x803A,0x60,0x8F,
0x7F79,0x80DE,0x99,0x71,
0x800A,0x80B3,0xAB,0xA0,
0x801A,0x80D8,0x60,0x8A,
0x7F8D,0x7FFF,0x99,0x84,
0x8031,0x81F2,0x99,0x7E,
0x7F4B,0x8013,0x6B,0xA9,
0x803D,0x7FD8,0x70,0xAF,
0x7FA8,0x80D9,0x9A,0x7A,
0x7FB3,0x806B,0x9A,0xAE,
0x7FE6,0x80A3,0x8E,0xAC,
0x801D,0x8129,0x50,0x92,
0x8089,0x8077,0x8A,0x97,
0x7F9C,0x80EF,0x92,0x90,
0x80D7,0x8123,0x7C,0x82,
0x8014,0x8152,0x9A,0x8F,
0x7FE1,0x80DB,0x9E,0x91,
0x7FC9,0x7FDF,0xAD,0x8F,
0x803A,0x80F0,0x96,0x78,
0x7F97,0x805D,0x82,0x8E,
0x807F,0x804A,0x84,0x96,
0x8018,0x8125,0x5B,0x66,
0x8044,0x8058,0x84,0x9B,
0x7EDC,0x80EE,0x67,0xA4,
0x8009,0x80B6,0x7E,0xB1,
0x7F76,0x808E,0x81,0x78,
0x8007,0x80BB,0x95,0x72,
0x7FE2,0x810B,0x70,0xB2,
0x8035,0x80A5,0x5E,0x8F,
0x7F8A,0x80D3,0x92,0x85,
0x80CF,0x80E6,0x8E,0x9A,
0x8042,0x8130,0x74,0x9B,
0x7F91,0x80BE,0x70,0x81,
0x8010,0x80A7,0x69,0xA7,
0x800E,0x7FE6,0x7A,0x8C,
0x80F2,0x803E,0x84,0xAB,
0x804D,0x8199,0x7E,0x85,
0x808D,0x816C,0x7D,0x76,
0x8090,0x7FB1,0x89,0x9E,
0x8104,0x8163,0x7E,0x8F,
0x7EAE,0x7FD1,0x73,0x9A,
0x7FA6,0x80D9,0x74,0x93,
0x7FF8,0x80D1,0x75,0x93,
0x7F72,0x80DA,0xA8,0xA6,
0x7F6A,0x809B,0x85,0x72,
0x7FE4,0x809F,0x7D,0x89,
0x7E83,0x80E3,0x67,0x8B,
0x808A,0x8037,0x86,0xA2,
0x8050,0x7FEA,0x7C,0x8B,
0x80BA,0x803F,0x82,0x98,
0x7FAC,0x8131,0x74,0xA5,
0x80DA,0x800D,0x7F,0x8C,
0x8006,0x812C,0x9D,0x7D,
0x802C,0x7FD5,0x7E,0x97,
0x80CF,0x8041,0x84,0x79,
0x805B,0x80AE,0xA0,0x93,
0x7F69,0x7FB9,0x89,0x6A,
0x7F98,0x8001,0x8D,0xA1,
0x7FB1,0x8113,0x6C,0x9B,
0x8045,0x8037,0x75,0x93,
0x7FEB,0x8035,0x9B,0x9B,
0x7FE6,0x80AB,0x62,0x6E,
0x8049,0x80A4,0x7B,0x96,
0x7F99,0x80A6,0x6A,0xA3,
0x7EED,0x80E3,0x7B,0x8F,
0x80C7,0x8161,0x87,0x7B,
0x813A,0x7FEC,0x7F,0x97,
0x7FCC,0x80BD,0x70,0x8B,
0x802F,0x80EF,0x73,0x9B,
0x7FE1,0x811A,0x7C,0x97,
0x801E,0x8087,0x8F,0x89,
0x80AF,0x806F,0x50,0xB1,
0x7F33,0x800E,0x58,0x81,
0x7ED3,0x8089,0x5A,0x83,
0x7F62,0x80AB,0x84,0x6F,
0x7FB1,0x8159,0x6C,0x86,
0x7FFA,0x80B4,0x89,0x73,
0x7F7E,0x805E,0x5B,0x79,
0x80F6,0x7FF7,0x7D,0xAD,
0x800A,0x8029,0x73,0x84,
0x80A7,0x8140,0x7E,0x68,
0x7FDC,0x817A,0xAA,0x96,
0x8117,0x816B,0x82,0x78,
0x7F51,0x816A,0x72,0x73,
0x8069,0x7FC5,0x72,0xAA,
0x8058,0x804B,0x70,0x99,
0x7FAA,0x8039,0x8C,0x89,
0x808D,0x8010,0x63,0x92,
0x8010,0x806C,0x72,0x6F,
0x80C6,0x809B,0x8E,0x81,
0x7F55,0x80F1,0x98,0x82,
0x7FE8,0x80A2,0x6E,0x69,
0x8061,0x8042,0x74,0x74,
0x8049,0x7F4D,0x7B,0x8C,
0x7F93,0x8053,0x7B,0x9F,
0x805F,0x808C,0xA5,0x90,
0x8091,0x8030,0x79,0x90,
0x8040,0x7FF9,0x80,0x8E,
0x80C1,0x7F7F,0x9B,0x86,
0x7FFB,0x806B,0x5D,0x95,
0x8014,0x8062,0x64,0x8E,
0x7F79,0x80E2,0x71,0x94,
0x7FD9,0x8142,0x92,0x8D,
0x7FFC,0x808B,0x61,0x59,
0x8016,0x7FF9,0xA5,0x6F,
0x7F21,0x80FC,0x87,0x87,
0x7F58,0x801E,0x85,0x9F,
0x7F17,0x804D,0x69,0x7E,
0x7FF7,0x7FC6,0x67,0x63,
0x8026,0x8114,0x8E,0x80,
0x8119,0x80F2,0x7F,0x8D,
0x7FE5,0x80B1,0x92,0x93,
0x8097,0x80B5,0x53,0x95,
0x80A4,0x8058,0x92,0x7C,
0x8032,0x8062,0x5E,0x87,
0x8054,0x80CE,0x5E,0xBC,
0x8054,0x8193,0x81,0x8D,
0x7FA3,0x8138,0x71,0x7C,
0x8061,0x7F70,0x88,0x90,
0x7FE8,0x8066,0x6F,0x83,
0x7FEE,0x7FB7,0x83,0x60,
0x804D,0x808C,0x96,0x6E,
0x7FF5,0x8054,0x95,0x94,
0x8000,0x8133,0x72,0x96,
0x7FBC,0x80F6,0x85,0x89,
0x80F7,0x8024,0x7F,0x6F,
0x80AF,0x8085,0x75,0x90,
0x7F8D,0x8182,0x65,0x7A,
0x807E,0x806E,0x80,0x97,
0x7FB5,0x8049,0x76,0x86,
0x8020,0x7FF7,0xAA,0x97,
0x8019,0x8044,0x7A,0x78,
0x8047,0x8125,0x71,0xAE,
0x80CB,0x80F3,0x82,0x8A,
0x7F7C,0x8164,0xA8,0x78,
0x7FBF,0x7F9B,0x93,0x89,
0x7EE0,0x80FB,0x54,0x82,
0x8062,0x80E9,0x98,0x82,
0x7F91,0x808F,0x8F,0x87,
0x8043,0x80E9,0x9D,0x8E,
0x7FA9,0x8089,0x6A,0x8F,
0x8071,0x808A,0x94,0x98,
0x7F82,0x80E8,0x76,0x58,
0x8029,0x8175,0xA3,0x77,
0x801F,0x814F,0x91,0x7F,
0x807C,0x8113,0x90,0x8E,
0x7F95,0x80D4,0x70,0x98,
0x8014,0x8005,0x66,0x68,
0x8007,0x7FF5,0x7C,0x7D,
0x80C2,0x80BA,0x92,0x75,
0x806B,0x80EE,0x73,0xB0,
0x80B4,0x7FE1,0x99,0x60,
0x7F7F,0x809E,0x84,0x98,
0x802A,0x80FF,0x70,0x8E,
0x7F67,0x805D,0x6C,0x91,
0x7EA3,0x8053,0x5A,0x8F,
0x804C,0x80D3,0x9E,0x83,
0x80B2,0x7FC1,0xA1,0x7B,
0x804E,0x809B,0x88,0x91,
0x7F7C,0x8091,0x9E,0x7F,
0x803F,0x8143,0x80,0x6F,
0x7ED9,0x8015,0x7D,0x68,
0x7F36,0x8148,0x8F,0x8C,
0x7FE8,0x7F2C,0x82,0x8D,
0x7F17,0x80DE,0x87,0x80,
0x8069,0x8053,0x88,0x89,
0x7F71,0x7FD2,0x72,0x84,
0x80FD,0x7FAB,0xBB,0x5C,
0x7FA7,0x817A,0x91,0x79,
0x806C,0x8100,0xAC,0x7B,
0x7EEF,0x804B,0x77,0x8C,
0x7FC7,0x7FFA,0x96,0x6F,
0x808F,0x8064,0xA8,0x9F,
0x7FE6,0x80E0,0xAB,0x7D,
0x80D2,0x7FD6,0x79,0x67,
0x809A,0x8082,0x96,0xA6,
0x80F5,0x807E,0x86,0x7B,
0x808D,0x8184,0x8B,0x57,
0x7FAF,0x7F96,0x7E,0x91,
0x8015,0x80A4,0x78,0x82,
0x7FD1,0x80BB,0x61,0xA6,
0x7FC7,0x804F,0x63,0x86,
0x80F5,0x8089,0x8B,0x81,
0x7FD8,0x80AE,0x73,0x54,
0x7F1C,0x813D,0x77,0x78,
0x80C7,0x8168,0x8E,0x75,
0x808A,0x807B,0x7F,0xA1,
0x801A,0x80EF,0x8C,0x97,
0x7FCA,0x8009,0x92,0x84,
0x7F99,0x809D,0x72,0xA3,
0x7F17,0x807E,0x68,0x89,
0x7F87,0x8101,0x61,0xA3,
0x7FF6,0x80D0,0x62,0x93,
0x802C,0x7FDE,0x6E,0x63,
0x800E,0x7F84,0x5C,0x7B,
0x7F1D,0x8008,0x64,0x7B,
0x800A,0x8018,0x73,0x75,
0x7FB3,0x80B6,0x86,0x90,
0x8031,0x7FF0,0x67,0x81,
0x7FE8,0x7FC3,0x7A,0x6D,
0x80F8,0x8048,0x82,0x91,
0x8037,0x801F,0x94,0x90,
0x8035,0x8025,0x90,0x9E,
0x8070,0x802D,0x85,0x91,
0x7FA3,0x8094,0x97,0x99,
0x7FCA,0x80F9,0x9A,0x63,
0x8102,0x809F,0x64,0x89,
0x7FE4,0x813A,0x7C,0x7D,
0x805D,0x80D9,0x79,0x97,
0x809C,0x8000,0x89,0x70,
0x80C2,0x80FD,0x8B,0x5E,
0x807B,0x806B,0x87,0x72,
0x7FB6,0x814F,0x7D,0x83,
0x7FAC,0x810F,0x58,0x9E,
0x80E4,0x8019,0x8B,0x97,
0x7FCD,0x801E,0x8B,0x6B,
0x8074,0x7F49,0x68,0x7F,
0x7FF5,0x8060,0x88,0x6C,
0x7F24,0x7FF9,0x87,0x9D,
0x8044,0x80B4,0x97,0x6D,
0x7FF7,0x80E9,0x94,0x8B,
0x7F5D,0x8051,0x8C,0x72,
0x7FEE,0x80B5,0xA0,0x88,
0x803D,0x7F9B,0x8F,0x87,
0x7FA6,0x7F58,0x9D,0x73,
0x8048,0x7FB2,0x8D,0x77,
0x7FEC,0x8089,0x7C,0x82,
0x7FC8,0x8102,0x4F,0x6A,
0x7FE7,0x8011,0x5A,0x8B,
0x7F97,0x8133,0x86,0x86,
0x8077,0x810E,0xBE,0x89,
0x7FE8,0x80FF,0x61,0x8E,
0x80CB,0x80BF,0x87,0x98,
0x80A1,0x7FD4,0x5A,0xAA,
0x7EFE,0x80C1,0x62,0x58,
0x7FEA,0x80F3,0x9C,0x7E,
0x805B,0x806B,0x77,0xA0,
0x8064,0x7F88,0x7B,0x89,
0x80A2,0x802D,0x79,0x6C,
0x8038,0x8050,0x71,0x8C,
0x7F86,0x80BF,0x7B,0xA0,
0x7FFD,0x8124,0x65,0xAF,
0x8012,0x808C,0x84,0x8C,
0x7FB9,0x8035,0x6A,0x91,
0x806C,0x8121,0x8A,0x8A,
0x7F9A,0x800E,0x90,0x74,
0x7F1D,0x8071,0x54,0x76,
0x7FE1,0x80BF,0x8B,0x9E,
0x807B,0x8186,0x96,0x84,
0x8027,0x8020,0x9B,0x7E,
0x7FDF,0x7FE4,0x78,0x65,
0x808A,0x7FF3,0x8A,0x80,
0x8066,0x80DA,0x5E,0x8C,
0x7FF8,0x8094,0x63,0x79,
0x7FB4,0x802E,0x7A,0x8A,
0x7FF4,0x7FD8,0x8A,0x87,
0x7FF6,0x80C5,0xAC,0x69,
0x7FA3,0x8074,0x76,0x6B,
0x8020,0x80E0,0x9A,0x95,
0x7FF9,0x7FAD,0x95,0x93,
0x800E,0x8012,0x99,0x92,
0x7F9A,0x7FF7,0x9D,0x63,
0x7F78,0x810A,0x78,0x89,
0x8060,0x8044,0x8F,0x83,
0x8024,0x8088,0xA6,0x88,
0x7F93,0x814F,0x78,0x99,
0x7FB4,0x809A,0x95,0x9C,
0x7F91,0x801E,0x7C,0x77,
0x807A,0x8140,0x83,0x67,
0x7FD3,0x7FDC,0x93,0x8E,
0x8078,0x8058,0xA1,0x70,
0x8014,0x8113,0x78,0xB1,
0x8039,0x80A3,0xB0,0xA7,
0x801B,0x80ED,0x82,0x90,
0x7FD0,0x8069,0x8C,0x89,
0x8011,0x80A7,0x7E,0x67,
0x7F50,0x8065,0x6C,0x71,
0x8063,0x8041,0x77,0x8F,
0x80B7,0x80E0,0x8D,0x77,
0x7FBC,0x7F81,0x90,0x7A,
0x7F73,0x8068,0x88,0x5E,
0x8018,0x8096,0x9E,0x94,
0x8071,0x80EC,0x90,0x8D,
0x8026,0x7FEA,0x62,0x88,
0x80F3,0x8078,0x90,0x91,
0x7F38,0x8083,0x78,0xA3,
0x80D0,0x80AD,0x82,0x75,
0x7FDD,0x7FEE,0x55,0x60,
0x7EB1,0x8141,0x64,0xA4,
0x8002,0x8139,0x92,0x80,
0x8054,0x8041,0x81,0x94,
0x7F75,0x8066,0x94,0x83,
0x8098,0x801A,0x85,0x7A,
0x802F,0x8054,0x77,0x84,
0x7F63,0x8185,0x6B,0x89,
0x8037,0x80B0,0x8C,0x60,
0x7F8E,0x7F96,0xA0,0x5A,
0x8011,0x7FDE,0x94,0x55,
0x8099,0x8112,0x7D,0x90,
0x8124,0x800F,0x8A,0x8E,
0x80BA,0x7F51,0x97,0x89,
0x7F6F,0x7FA3,0x77,0x6F,
0x7F7D,0x7F00,0x6F,0x6D,
0x805B,0x80DB,0xA0,0x8F,
0x80A2,0x7EBF,0x92,0x82,
0x7FFE,0x7F74,0x78,0x4C,
0x7F6B,0x813F,0x9A,0x75,
0x7F69,0x801D,0x4B,0x8E,
0x7F0B,0x80A7,0x7C,0x86,
0x8005,0x8055,0x88,0x8B,
0x7FD9,0x7FEE,0x7E,0x81,
0x80D2,0x8104,0x85,0x95,
0x80EC,0x80D9,0x8A,0x75,
0x7F01,0x7FC8,0x78,0x7F,
0x7FC5,0x80BA,0x64,0x6C,
0x8030,0x7FBD,0x5F,0x7D,
0x80AA,0x80C8,0x6E,0x87,
0x808B,0x7FC3,0xA1,0x81,
0x80EF,0x7FED,0x91,0x74,
0x8041,0x809C,0x66,0x94,
0x8027,0x805C,0x71,0x85,
0x7FAC,0x80B9,0x6F,0x71,
0x7F8A,0x8001,0x57,0x8C,
0x7FAE,0x802D,0x86,0x64,
0x7F89,0x7FDD,0x95,0x65,
0x801C,0x805F,0x79,0x69,
0x8012,0x812F,0x7D,0x9A,
0x7FBE,0x804C,0x95,0x7B,
0x7F94,0x810D,0x9D,0x8E,
0x7FAE,0x80F5,0x4D,0x78,
0x7F30,0x7FC0,0xA7,0x6C,
0x8025,0x805F,0x85,0x93,
0x8039,0x8069,0x6B,0x94,
0x8052,0x8002,0x6F,0x54,
0x7FE8,0x808D,0x87,0x6D,
0x806A,0x808C,0x46,0x7B,
0x7FE5,0x805E,0x86,0xAD,
0x8009,0x7FB7,0x94,0x73,
0x7F7F,0x803C,0x67,0x7D,
0x800F,0x7FD3,0x4C,0x60,
0x7EAF,0x7FD6,0x83,0x72,
0x8058,0x8148,0x87,0x5F,
0x8028,0x807A,0x6A,0x92,
0x8037,0x80B7,0x8D,0xA0,
0x7F18,0x811D,0x91,0x69,
0x7FF3,0x806F,0x85,0x70,
0x8074,0x8109,0x9C,0x71,
0x8104,0x8190,0x81,0x85,
0x802F,0x80C3,0x98,0x67,
0x80D7,0x817D,0xB4,0xA8,
0x7F94,0x8158,0x55,0x91,
0x7FF5,0x8046,0x84,0x93,
0x80C8,0x8098,0xA3,0x91,
0x801C,0x80A3,0x97,0x88,
0x804D,0x801C,0x8D,0x65,
0x8035,0x8128,0x81,0x8A,
0x7FFD,0x8056,0x9C,0x9F,
0x7F4F,0x7F7B,0x7A,0x6C,
0x80D5,0x7F1D,0x74,0x83,
0x7FE3,0x7FB3,0x94,0x8C,
0x80B4,0x80A2,0x7E,0x85,
0x7EB6,0x8042,0x5A,0x7C,
0x7FE0,0x806F,0x8C,0xBD,
0x7FAE,0x80D6,0xA0,0x76,
0x801C,0x809C,0x94,0x99,
0x7F90,0x8025,0xA4,0x70,
0x8006,0x8080,0x85,0x89,
0x7F19,0x8011,0x73,0x7F,
0x7F8C,0x80E9,0x78,0x90,
0x8031,0x80DB,0x70,0xA8,
0x800A,0x80FD,0x76,0x85,
0x8080,0x80EB,0x97,0x7A,
0x804F,0x7F8C,0x8A,0x6D,
0x7FEE,0x808A,0x7D,0x89,
0x7F18,0x8136,0x7C,0xA5,
0x8044,0x7FEF,0x7C,0x92,
0x803E,0x809A,0x82,0x8E,
0x805B,0x809E,0x8B,0x7D,
0x7F60,0x807B,0x93,0xA5,
0x7FF0,0x7FF7,0x99,0x8A,
0x802E,0x7F9E,0x6C,0x73,
0x809F,0x80AB,0xBA,0x84,
0x7F74,0x8031,0x82,0x90,
0x8014,0x80F4,0x6B,0xA4,
0x7F78,0x808C,0x54,0x93,
0x8013,0x7FD0,0x72,0x7A,
0x8081,0x8087,0x69,0x7C,
0x802D,0x80F7,0x8A,0x8A,
0x7F58,0x8078,0x8A,0x58,
0x802E,0x8084,0x8F,0x86,
0x802E,0x802E,0x86,0x63,
0x7FA9,0x8015,0x6B,0x77,
0x7FA1,0x7FBA,0x71,0x6E,
0x8010,0x807E,0xA3,0x8D,
0x7F85,0x7FD1,0x71,0x77,
0x7FB6,0x8032,0x67,0x71,
0x7F2C,0x80A8,0x8C,0x81,
0x7F8A,0x8004,0x7F,0x76,
0x8115,0x8045,0x82,0x91,
0x7FA4,0x808F,0x9D,0x7F,
0x7F8E,0x80C2,0xB0,0x8B,
0x804D,0x800F,0x97,0x68,
0x7F49,0x80BB,0x80,0xA9,
0x7FA9,0x807E,0x5B,0x89,
0x8001,0x7FE4,0x66,0x6C,
0x80CF,0x7FCB,0xB8,0x6A,
0x7FE5,0x808E,0x82,0x91,
0x80C6,0x818D,0xA2,0x82,
0x8007,0x804B,0x74,0x9F,
0x80BD,0x8143,0x8F,0x87,
0x8001,0x80CE,0x8A,0xA3,
0x808C,0x80DE,0x83,0x92,
0x7FD6,0x80C8,0x70,0xA6,
0x8086,0x7FD4,0x8E,0x6B,
0x808B,0x7FA2,0x85,0x7E,
0x8077,0x80DA,0xA4,0x4F,
0x7EF1,0x7FB8,0x83,0x72,
0x8090,0x80C0,0x94,0x73,
0x7FD1,0x8049,0x86,0x7C,
0x807A,0x8100,0xBA,0x4B,
0x7F9C,0x804B,0x59,0x82,
0x80B0,0x8136,0x76,0x85,
0x7F42,0x8004,0x61,0x7B,
0x7F67,0x80EA,0x5C,0x73,
0x7F8A,0x819F,0x71,0x98,
0x7ED2,0x80E1,0x79,0x85,
0x7F0E,0x819F,0x7B,0x8D,
0x8031,0x7FF0,0x86,0x7B,
0x80D1,0x7F5B,0x87,0x84,
0x8056,0x7FF0,0x96,0x70,
0x7FE8,0x7F3E,0x6C,0x81,
0x803F,0x8033,0x6B,0x95,
0x7FA6,0x8154,0x69,0x80,
0x8085,0x818A,0x86,0xA8,
0x7F10,0x80D6,0x76,0x8D,
