a_up,a_down,b_up,b_down,¹«Ê½£ºx=ay-(b+c)
0x7FDA,0x7FE3,0x8C,0x74,
0x809A,0x7FFC,0x9C,0x9D,
0x7F94,0x7FE3,0x4D,0x71,
0x7FE9,0x8107,0x65,0x9B,
0x7F9A,0x803C,0x78,0x79,
0x804A,0x7F54,0x98,0x6B,
0x7FFA,0x7FDD,0x8A,0x70,
0x8010,0x8063,0x7F,0x68,
0x7F40,0x8064,0x7B,0x6D,
0x8155,0x8024,0x98,0x86,
0x801D,0x800A,0x80,0x79,
0x7F9D,0x8158,0x7A,0x69,
0x7FC4,0x810C,0xA0,0x79,
0x80F4,0x80E0,0x64,0x7C,
0x8075,0x814E,0x59,0x66,
0x806A,0x7F83,0x78,0x84,
0x7FA4,0x806A,0x71,0x85,
0x7F76,0x810B,0x56,0x97,
0x804F,0x7F90,0x9F,0x81,
0x7F5C,0x807E,0x7C,0x77,
0x7FB5,0x80D7,0x60,0x7F,
0x80D1,0x800E,0x9E,0x7E,
0x7E94,0x8039,0x7D,0x61,
0x8017,0x7FC8,0x7A,0x7B,
0x7FC6,0x8059,0x96,0x7F,
0x8035,0x805A,0x85,0x80,
0x8073,0x80D5,0x97,0x8F,
0x8049,0x80C5,0x7C,0x97,
0x7FE6,0x8059,0x68,0x8C,
0x8050,0x8056,0x82,0x75,
0x804E,0x8064,0x5B,0x68,
0x7FCF,0x8137,0x75,0x93,
0x802D,0x7FF4,0x78,0x7F,
0x8091,0x8001,0x69,0x79,
0x7FE8,0x8157,0x59,0xA8,
0x7F40,0x7FE9,0x5D,0x71,
0x8132,0x8074,0x9F,0x6B,
0x803A,0x80E4,0x42,0x88,
0x7FC6,0x7FEA,0x84,0x5B,
0x802E,0x8049,0x92,0x77,
0x7FB9,0x808E,0x5E,0x9E,
0x7FD0,0x8077,0x7B,0x88,
0x804D,0x7FB6,0x91,0x77,
0x7FFE,0x807A,0x6E,0x6D,
0x8075,0x8064,0x81,0xB9,
0x7FC1,0x8141,0x8A,0x8F,
0x7F51,0x8157,0x6F,0x98,
0x8054,0x80BD,0x8B,0x7F,
0x8032,0x80EB,0x97,0x99,
0x8051,0x8058,0x80,0x92,
0x8022,0x81B5,0x92,0x96,
0x8020,0x7FD1,0x68,0x6B,
0x8014,0x824D,0x99,0x99,
0x80DC,0x8060,0x84,0x89,
0x8055,0x7FC3,0x8D,0x6D,
0x7FCB,0x8124,0x82,0x92,
0x7FD4,0x80B3,0x73,0x84,
0x7F51,0x8096,0x5D,0x80,
0x7F7E,0x8072,0x7B,0x96,
0x8061,0x8139,0x84,0xA4,
0x7F9E,0x80F2,0x73,0xA6,
0x80E0,0x810C,0x86,0x83,
0x7FCA,0x8040,0x7C,0x65,
0x7FD5,0x80CE,0x5F,0x98,
0x809D,0x7FD0,0x8F,0x5F,
0x7FFE,0x8055,0x6D,0x83,
0x805A,0x803A,0x88,0x6A,
0x8076,0x8116,0x61,0xA4,
0x801B,0x7FE6,0xA0,0x75,
0x7F62,0x8138,0x6C,0x86,
0x7F98,0x80D1,0x67,0x8D,
0x80AC,0x808E,0x96,0x88,
0x7EC9,0x818A,0x77,0x8A,
0x7FCC,0x7FB4,0x8D,0x7C,
0x80DE,0x803F,0x8A,0x89,
0x805D,0x7FBE,0x7B,0x79,
0x8008,0x8077,0x75,0x6D,
0x7FAA,0x813C,0x90,0xA6,
0x807F,0x807A,0x68,0x7C,
0x7FCA,0x8097,0x74,0x7A,
0x7EE9,0x8046,0x5B,0x78,
0x8081,0x7F99,0x7E,0x86,
0x8016,0x7FFF,0x78,0x70,
0x808A,0x8152,0x71,0x99,
0x802D,0x80A6,0x90,0x7F,
0x8006,0x80BF,0xA0,0x8E,
0x7F58,0x80E2,0x69,0x94,
0x8088,0x8013,0x76,0x6D,
0x7F64,0x8050,0x66,0x5E,
0x8003,0x8013,0x6B,0x97,
0x801A,0x8004,0x58,0x7A,
0x7F49,0x8056,0x68,0x68,
0x8059,0x7F7E,0x78,0x69,
0x8011,0x80F6,0x80,0x8D,
0x7F4E,0x816E,0x6D,0x98,
0x800D,0x8062,0x68,0x72,
0x7FBC,0x80A4,0x78,0x83,
0x7EDD,0x80CD,0x6E,0x8E,
0x80E9,0x8049,0xA7,0x70,
0x7FAF,0x7F3C,0x87,0x67,
0x7F5F,0x8071,0x81,0x73,
0x809B,0x8094,0x82,0x85,
0x7F87,0x7FB7,0x7E,0x6A,
0x8090,0x8045,0xA3,0x75,
0x8055,0x8082,0x60,0x96,
0x80E8,0x7FEC,0xA2,0x8D,
0x7FCD,0x7FBB,0x59,0x73,
0x803C,0x8026,0x5F,0x71,
0x80B0,0x8020,0x80,0x86,
0x80D9,0x8114,0x9F,0x93,
0x8031,0x8028,0x6E,0x88,
0x7F2B,0x806A,0x61,0x90,
0x7F15,0x800D,0x7C,0x7B,
0x803A,0x7F5B,0x9C,0x71,
0x8032,0x808B,0x9D,0x8A,
0x7F92,0x8095,0x76,0x8A,
0x800A,0x8092,0x8A,0x96,
0x7F2E,0x8084,0x6E,0x8D,
0x7F85,0x8056,0x7E,0x79,
0x7F05,0x810A,0x73,0x91,
0x7F66,0x80A7,0x63,0x9B,
0x811A,0x809C,0x9A,0x6D,
0x80AE,0x7FE7,0x93,0x99,
0x7F54,0x80F9,0x85,0x73,
0x809C,0x7FBD,0x8E,0x73,
0x8030,0x813D,0x88,0x8E,
0x808A,0x81A7,0x8C,0xB3,
0x8087,0x80EB,0x8C,0x96,
0x812A,0x8051,0xB5,0x7D,
0x7F60,0x804B,0x6F,0x79,
0x7FBF,0x7FD2,0x72,0x7D,
0x7FF8,0x7FB1,0x9C,0x5B,
0x7F88,0x800B,0x73,0x96,
0x7FA1,0x80F4,0x74,0x76,
0x7F21,0x802D,0x55,0x86,
0x7EEF,0x7F65,0x79,0x6C,
0x8001,0x806B,0x8C,0x86,
0x8022,0x8001,0x88,0x7C,
0x800B,0x80D4,0x7D,0x9E,
0x80B8,0x8120,0xAE,0x72,
0x80A7,0x7FAA,0x9B,0x79,
0x8172,0x7FB9,0x93,0x77,
0x7F92,0x80B5,0x63,0x68,
0x80B0,0x7FDB,0x85,0x79,
0x80D2,0x80D9,0x8E,0x78,
0x800C,0x8114,0x47,0x9A,
0x7F70,0x80BF,0x65,0x8C,
0x7FEB,0x7FE2,0x92,0x70,
0x8118,0x8073,0xAA,0x7A,
0x8101,0x8033,0x9C,0x6A,
0x7FBD,0x8042,0x7D,0x95,
0x7E2E,0x802E,0x74,0x73,
0x7FF1,0x809F,0x7C,0x9B,
0x80BF,0x8107,0x70,0x85,
0x80DA,0x7FA5,0x9D,0x7A,
0x7FC6,0x805C,0x59,0x83,
0x8003,0x80DE,0x8C,0x82,
0x807D,0x80ED,0xA0,0x7F,
0x7F50,0x81CC,0x6F,0x94,
0x80B5,0x8057,0x9F,0x6F,
0x805A,0x80B7,0x63,0x8A,
0x7FC0,0x7F98,0x9C,0x79,
0x8044,0x804F,0x69,0x7E,
0x7F74,0x8087,0x74,0x82,
0x7F88,0x80EB,0x6A,0x92,
0x802C,0x80FB,0x7F,0x8D,
0x80C9,0x7FF7,0xA3,0x89,
0x7F9A,0x8080,0xA2,0xA5,
0x8077,0x7FD4,0x86,0x70,
0x805F,0x80B0,0xA3,0x4B,
0x806F,0x8004,0x96,0x87,
0x8028,0x8011,0x7D,0x7E,
0x8001,0x809A,0x78,0x7C,
0x806B,0x8047,0x8C,0x64,
0x8064,0x80CF,0x86,0x9D,
0x7E89,0x804A,0x61,0x85,
0x8002,0x80DD,0x95,0x94,
0x8026,0x8003,0x8B,0x82,
0x803D,0x8024,0x8B,0x4C,
0x7F2A,0x80CC,0x73,0x84,
0x7F9A,0x806A,0x59,0x87,
0x7F48,0x8025,0x70,0x86,
0x7F62,0x81E3,0x7B,0x87,
0x7F71,0x8151,0xA7,0xA0,
0x8089,0x80D1,0x7A,0xA5,
0x7F24,0x80AA,0x6E,0x7F,
0x7FFC,0x80B9,0x78,0x7E,
0x8048,0x7F87,0x88,0x76,
0x80C9,0x810B,0x8E,0xAA,
0x8043,0x808B,0x8F,0x86,
0x7FDB,0x812E,0x78,0x9E,
0x7FA5,0x8079,0x73,0x9E,
0x7FB5,0x8063,0x71,0x7C,
0x8074,0x8030,0x9C,0x88,
0x8086,0x80C7,0x71,0x89,
0x809F,0x7FB6,0x8C,0x85,
0x7FFF,0x8168,0x7B,0xB7,
0x8014,0x81DC,0xA6,0xA7,
0x7FA3,0x7FB9,0x8B,0x7F,
0x8074,0x804F,0x88,0x8E,
0x7F75,0x8040,0x68,0x9A,
0x7F82,0x7FC3,0x70,0x66,
0x8070,0x80DB,0x83,0x88,
0x7F28,0x8078,0x71,0xA7,
0x7FC7,0x7FF7,0x7F,0x8F,
0x7F56,0x8063,0x7B,0x9F,
0x7FC3,0x80CC,0x70,0x5C,
0x7F59,0x8027,0x89,0x94,
0x7FDC,0x8172,0x82,0x81,
0x7F70,0x80DE,0x85,0x9A,
0x8086,0x8018,0x9C,0x75,
0x80DC,0x81C2,0x8D,0x9C,
0x7FC1,0x80E1,0x6D,0x97,
0x7F85,0x811A,0x91,0x86,
0x8051,0x8141,0x72,0x92,
0x8156,0x80B9,0x88,0x86,
0x7FB5,0x809C,0x74,0x7B,
0x806B,0x809C,0x76,0x8D,
0x80C2,0x8038,0x87,0x99,
0x80B6,0x804F,0x91,0x75,
0x809F,0x8074,0x4D,0x79,
0x8018,0x8139,0x96,0x9E,
0x7FDC,0x803B,0x75,0x6A,
0x8058,0x800B,0x84,0x8D,
0x7F63,0x8039,0x49,0x72,
0x7F3F,0x8082,0x6F,0x6C,
0x7F58,0x80BD,0x8A,0x8C,
0x8097,0x8062,0x96,0x66,
0x7FDC,0x810A,0x86,0x60,
0x8093,0x80F1,0x8D,0x95,
0x80D4,0x8088,0xA3,0x6B,
0x7FA8,0x8067,0x76,0x63,
0x8036,0x8013,0x75,0x78,
0x8037,0x8171,0x8A,0x86,
0x7F6E,0x80BB,0x85,0x7E,
0x802B,0x81A3,0x71,0x85,
0x7FD5,0x804F,0x85,0x71,
0x7F09,0x8032,0x63,0x8B,
0x7F3E,0x80B2,0x7B,0x7F,
0x8122,0x80AC,0x59,0xA7,
0x8049,0x7F08,0x73,0x66,
0x7F31,0x8150,0x79,0x96,
0x7F91,0x80A1,0x7F,0x86,
0x8030,0x8066,0x95,0x6F,
0x805E,0x8021,0xA0,0x8E,
0x7E8B,0x80E2,0x53,0x86,
0x8009,0x7F42,0x77,0x68,
0x808B,0x80BA,0x8B,0x91,
0x80B6,0x7FDA,0x97,0x6F,
0x805E,0x807D,0x88,0x8C,
0x804F,0x7F4C,0x9E,0x6B,
0x7F6F,0x7FB5,0x93,0x7F,
0x802A,0x7FFB,0x79,0x7D,
0x805F,0x80D7,0x82,0x8E,
0x8108,0x80ED,0x93,0x91,
0x80E7,0x7FDA,0x83,0x6E,
0x80BD,0x7F7C,0xA7,0x6F,
0x7FC7,0x810C,0x70,0x99,
0x803B,0x805B,0x85,0x88,
0x80D0,0x806C,0x89,0x6C,
0x8098,0x8198,0x8C,0x83,
0x7F12,0x80EA,0x63,0x86,
0x80C5,0x7FEE,0x95,0x8C,
0x7ECC,0x814D,0x6B,0xA6,
0x7F8A,0x804E,0x7E,0x87,
0x7EE8,0x80AC,0x7B,0x66,
0x7F65,0x807B,0x7B,0x96,
0x802E,0x8037,0x84,0x8E,
0x8018,0x812F,0x7F,0xA2,
0x800A,0x7FC8,0x83,0x70,
0x7FCB,0x8009,0x5F,0x91,
0x8071,0x812A,0x84,0x7C,
0x800B,0x8002,0x8B,0x81,
0x7FAE,0x8026,0x68,0x7D,
0x8006,0x8069,0x87,0x50,
0x7FB5,0x8097,0x4A,0x72,
0x7FF8,0x808C,0x8F,0x8E,
0x8041,0x8011,0x7E,0x76,
0x804D,0x8074,0x7E,0x9D,
0x8067,0x80CE,0x9A,0x93,
0x8085,0x8019,0x8F,0x78,
0x80D9,0x8059,0x9B,0x55,
0x8146,0x7FF1,0xA2,0x7D,
0x7FC2,0x80D7,0x7B,0x75,
0x7FBD,0x80D7,0x86,0x76,
0x8016,0x8121,0x75,0x99,
0x8077,0x80AD,0x80,0x93,
0x7FE4,0x805E,0x8A,0x7C,
0x7FDE,0x8058,0x5F,0x99,
0x801C,0x7FE6,0x7A,0x79,
0x7F5E,0x80B3,0x6D,0x9B,
0x80F2,0x80AD,0xA9,0x83,
0x7FA6,0x8118,0x9B,0xA0,
0x7FCE,0x8123,0x7D,0xB4,
0x80A8,0x8039,0x8D,0x75,
0x7FF4,0x8023,0x9D,0x92,
0x80B7,0x80BF,0x7F,0x94,
0x807F,0x80E8,0x92,0xA5,
0x807E,0x7F9B,0xB8,0x85,
0x800C,0x8069,0x83,0x94,
0x803C,0x807C,0x89,0x72,
0x80A2,0x8073,0x99,0x90,
0x7ECF,0x8071,0x61,0x7B,
0x80E5,0x8197,0x8F,0x8D,
0x7E34,0x80E2,0x67,0x74,
0x7FE9,0x8028,0x9F,0x76,
0x7FB8,0x806C,0x77,0x8F,
0x7FB4,0x80FE,0x7E,0x90,
0x7F4A,0x7F5A,0x69,0x7B,
0x7FB2,0x80BB,0x7A,0x9E,
0x8012,0x7FC7,0x7D,0x6F,
0x80BE,0x8009,0x8C,0x88,
0x7E96,0x80E3,0x6D,0x8C,
0x803C,0x805C,0x8E,0x83,
0x8153,0x7F8D,0xAA,0x6A,
0x80B5,0x8093,0x9C,0x81,
0x8071,0x81BA,0x7E,0xA9,
0x80BD,0x8025,0x8B,0x9B,
0x7F82,0x80A6,0x5E,0xA0,
0x7F51,0x80D6,0x62,0x6C,
0x7FB4,0x805E,0x74,0x6C,
0x8060,0x8136,0x98,0x71,
0x80CD,0x7F72,0xA7,0x75,
0x807D,0x810B,0x9F,0xA3,
0x80A2,0x801C,0x8A,0x7D,
0x8024,0x7FB4,0x99,0x72,
0x7F06,0x815F,0x5B,0xB3,
0x7FC4,0x810C,0x9F,0x8D,
0x7FE4,0x80FE,0x82,0x9F,
0x8071,0x8125,0xA3,0x89,
0x804B,0x7FDB,0x92,0x82,
0x7F6E,0x7FC8,0x76,0x60,
0x80F0,0x7FBE,0x7E,0x6D,
0x7FE4,0x8094,0x82,0x93,
0x7E32,0x8195,0x6D,0x9C,
0x7FD1,0x80AD,0x8A,0x9F,
0x803B,0x8026,0x8A,0x7C,
0x7FA6,0x8076,0x75,0x6E,
0x7F83,0x805E,0x76,0x92,
0x800E,0x7FD5,0x74,0x82,
0x8039,0x8015,0x7F,0x89,
0x7FE0,0x8094,0xA1,0xA8,
0x8003,0x801A,0x77,0x70,
0x807B,0x806C,0x9D,0x89,
0x8045,0x7F90,0x7B,0x6D,
0x8039,0x80B0,0x81,0x7D,
0x8011,0x8082,0x77,0x69,
0x814B,0x8044,0x96,0x7A,
0x7F9A,0x8014,0x52,0x9A,
0x806B,0x7F90,0x7F,0x73,
0x8013,0x816B,0x8C,0x98,
0x7ECE,0x80CE,0x68,0x8E,
0x7FE3,0x804C,0x5D,0x88,
0x805C,0x8122,0x89,0x87,
0x8012,0x80C8,0x4B,0x8F,
0x803C,0x80B0,0x9B,0x96,
0x7F75,0x8106,0x65,0x78,
0x8010,0x80A9,0x7B,0xA6,
0x7F28,0x81C7,0x74,0x91,
0x8037,0x8032,0x80,0x98,
0x8070,0x7F59,0x89,0x76,
0x80A7,0x8106,0x92,0x6F,
0x7F99,0x8095,0x94,0x97,
0x8087,0x7FDB,0x8D,0x8A,
0x7FB8,0x80D8,0x69,0x9D,
0x7FF7,0x803F,0x87,0x8D,
0x7FB4,0x8066,0x86,0x74,
0x7F2D,0x80A3,0x65,0x58,
0x7F71,0x80B4,0x77,0x86,
0x7FF2,0x810E,0x79,0x65,
0x809A,0x80C5,0x97,0x80,
0x8016,0x7FC3,0x70,0x86,
0x7F2D,0x7F9B,0x6D,0x80,
0x809A,0x816F,0x8D,0x83,
0x7F7E,0x80AB,0x91,0x80,
0x8059,0x81DF,0x96,0xC1,
0x7FF0,0x8202,0x77,0x74,
0x7FA1,0x80E6,0x65,0x71,
0x7FA3,0x803E,0x91,0x8D,
0x7FA4,0x80A3,0x8C,0x8A,
0x8103,0x800E,0x81,0x58,
0x8099,0x80B0,0xA0,0x9C,
0x8019,0x8087,0x8D,0x66,
0x7FAA,0x80C1,0x69,0x92,
0x80AB,0x808E,0x9F,0x9C,
0x7F90,0x80E8,0x79,0x9A,
0x8087,0x8149,0x75,0x83,
0x803E,0x819D,0x8C,0x85,
0x802A,0x80AE,0x8A,0x6E,
0x805D,0x80B8,0x8A,0x8D,
0x802D,0x80CE,0x77,0x80,
0x7FA2,0x7FFB,0x7A,0x80,
0x7FC5,0x8073,0x83,0x76,
0x8055,0x7FBD,0x93,0x91,
0x7F71,0x802B,0x64,0x6A,
0x7F38,0x8070,0x74,0x55,
0x8011,0x8074,0x86,0x88,
0x7F91,0x8092,0x95,0x91,
0x8138,0x8059,0x8A,0x7D,
0x7FDE,0x8018,0x78,0x84,
0x7FF7,0x8085,0x81,0x64,
0x8054,0x8065,0x6F,0x75,
0x8057,0x8072,0x8F,0x82,
0x8031,0x809B,0x77,0x8A,
0x8000,0x8048,0x78,0x63,
0x7F38,0x8060,0x64,0x5A,
0x7FEF,0x808E,0x64,0x7C,
0x8049,0x7F7A,0x9B,0x89,
0x7ECB,0x8009,0x69,0x77,
0x8007,0x7F89,0x8E,0x7D,
0x804A,0x8052,0xA6,0x8C,
0x7F6C,0x801D,0x5F,0x79,
0x80D3,0x8072,0x8B,0x88,
0x8055,0x8062,0x7A,0x78,
0x8033,0x80F6,0x4F,0x89,
0x808D,0x804B,0x90,0x8F,
0x809A,0x8025,0x6F,0x70,
0x80ED,0x7F8B,0x9F,0x79,
0x805F,0x7F17,0x8B,0x78,
0x7FC8,0x7FF3,0x75,0x93,
0x7FF7,0x8090,0x80,0x8D,
0x7FCE,0x801C,0x84,0x86,
0x8033,0x815E,0x67,0x97,
0x8028,0x80FB,0x96,0x93,
0x7FA7,0x807B,0x78,0x78,
0x800A,0x8021,0x65,0x8D,
0x8045,0x808B,0x88,0xA4,
0x7FDE,0x7FE6,0x7B,0x5F,
0x8096,0x80C5,0x6E,0x90,
0x7F9C,0x811B,0x81,0x88,
0x8019,0x810F,0x95,0x75,
0x7F06,0x7F60,0x74,0x61,
0x7FDF,0x808F,0x80,0x89,
0x7F9D,0x8128,0x4E,0xBC,
0x80A5,0x810D,0x87,0x7E,
0x8010,0x80E2,0x6D,0x91,
0x7F16,0x8054,0x6E,0x88,
0x810B,0x818D,0xA9,0x97,
0x7F72,0x807E,0x73,0x7D,
0x7F94,0x815F,0x5F,0x80,
0x807C,0x80F6,0x7A,0x74,
0x8091,0x8107,0x6C,0x8D,
0x7F40,0x8053,0x75,0x80,
0x80FE,0x806B,0xA2,0x74,
0x806E,0x80FF,0x8F,0x6C,
0x8094,0x8143,0x95,0x81,
0x7F91,0x8140,0x72,0x8A,
0x80E9,0x81CE,0x78,0x88,
0x8044,0x80AF,0x71,0x89,
0x7FB4,0x80DB,0x88,0x50,
0x7FFD,0x80EA,0x7E,0xA5,
0x81DE,0x8062,0x9A,0x6E,
0x7E6C,0x8107,0x5B,0x6F,
0x80F7,0x8073,0x9E,0x84,
0x7FB2,0x80DE,0x4C,0x7D,
0x8005,0x806E,0x5C,0x6D,
0x8012,0x80CE,0x65,0xAB,
0x7F71,0x819B,0x90,0x8E,
0x8052,0x80AB,0xA3,0x8D,
0x7FE5,0x80AA,0x7D,0xB4,
0x8041,0x8020,0x7E,0x56,
0x8139,0x8062,0x92,0x78,
0x7F96,0x8280,0x6B,0xA0,
0x8050,0x8195,0x85,0x87,
0x8023,0x824B,0x68,0x9B,
0x7FF3,0x8156,0xA4,0x8D,
0x7FA1,0x7F92,0x7F,0x5D,
0x813C,0x800B,0x8C,0x6F,
0x7FA3,0x7FE8,0x83,0x5E,
0x7FF3,0x80FD,0x79,0x91,
0x7FAB,0x813B,0x8B,0x8B,
0x8064,0x7F71,0x7E,0x52,
0x80CE,0x7FD2,0x93,0x84,
0x8069,0x8155,0x8E,0xA8,
0x7E8A,0x8091,0x66,0x7F,
0x8039,0x810D,0x81,0x96,
0x805B,0x8115,0x85,0x8D,
0x8059,0x80CC,0x8F,0x92,
0x7FFE,0x80A9,0x68,0x89,
0x80B6,0x8101,0x90,0x8B,
0x8069,0x80F1,0x7C,0xB5,
0x7FDB,0x811E,0x81,0xAE,
0x800D,0x8106,0x84,0xA2,
0x801E,0x800B,0xA2,0x71,
0x7F59,0x802D,0x6D,0x8C,
0x804F,0x80D0,0x92,0x83,
0x7FDC,0x805D,0x74,0x8A,
0x7FFA,0x8005,0x87,0x61,
0x7EEB,0x7FA5,0x64,0x71,
0x808A,0x801B,0x64,0x68,
0x7E6F,0x7F36,0x59,0x7D,
0x80BA,0x7F94,0x89,0x7B,
0x8004,0x7FEB,0x6D,0x6D,
0x7F76,0x8086,0x6A,0x83,
0x7F42,0x8010,0x9B,0xAA,
0x8141,0x80EB,0x9D,0x8D,
0x80FC,0x815B,0xA9,0x92,
0x80CA,0x80A7,0x99,0x8A,
0x7FCB,0x7FCA,0x9C,0x6C,
0x803D,0x80E8,0x90,0x83,
0x7F76,0x814F,0x54,0xB3,
0x800B,0x8130,0x77,0x9A,
0x8019,0x8014,0x7F,0x88,
0x7FC0,0x8114,0x9D,0xAB,
0x8003,0x80AC,0xAA,0xAD,
0x804F,0x7F34,0x84,0x7C,
0x7FC6,0x80EE,0x96,0x81,
0x7FCD,0x8025,0x91,0x81,
0x7FF6,0x8018,0x9A,0x6B,
0x8055,0x8083,0x86,0x77,
0x8026,0x80B0,0x64,0x70,
0x8139,0x80A9,0xAD,0x4C,
